# creator	floor_sol	budget_sol	cu_price	min_depth_sol	max_depth_sol
# floor      = deployer must put in at least this much, else skip
# budget     = max_sol_cost on the buy instruction; the token amount is derived from it
# cu_price   = micro-lamports against the fixed 110,000 CU limit
# depth band = SOL already in the curve when we land; under 5 loses, over 18 is too late
# 41 from his decoded config, 26 from the creator screen
FFPmqVLMj9TNbQXcrXyevcM3pxGaK4ApaAT4oLq2b3S7	3.002	1.25	6000000	5	18
6Fy8LxPMdETrkaU1xMF3uvz4w6ofJC5dHsk1LqAPUP5r	3.002	1.25	30000000	5	18
CXoUJHtBGnuNR6zJ3zm8nTnNzCwXxFViXh29d1kTJQmK	3.002	1.25	70000000	5	18
25jZ7EwnKfZo2DZgHM27pbU5Tf54PYG8jc7qNL3gtkxG	3.000	1.25	28000000	5	18
2CFywHXDPjDK2iRQsb95vnjgncDUZeQKJ6MceJ4ALpdc	3.000	1.25	28000000	5	18
5MTjkAZMe1ur64ADTgnaYFN1ByTapu2RqcKYUdQNaE2E	3.000	1.25	28000000	5	18
866SrsMfwKsErATZDCLAPbxH3NuqjKn7zQ1xXMqixoz1	3.000	1.25	28000000	5	18
8YcbyX92UHTU23HZv3ccP9o13qibErQkKaUjoxqxd7SJ	3.000	1.25	28000000	5	18
AqsW2qxwaKKntSVKQKYBiyBjjR6UURGkWXzECTvQk116	3.000	1.25	28000000	5	18
3Ru41s7pJRYQuShPFKGMqcX8SmdJU5S4d2zfnv4BQVjN	2.965	1.25	20000000	5	18
8i5U2uNBEuTc4zskYP14zbebDg2RSwrrG8REhEnJb97K	2.965	1.25	32000000	5	18
23QuARJvRDKYy7c9QM8NCVZJSBKy3EALUkzSvf5Gft3U	2.965	1.25	10000000	5	18
CxxcsDAobcZPeYgWUGfuXb4Via5QNm9xhdU96dUTKsfR	2.502	1.25	40000000	5	18
ETroz4qu4C6E9HJvYx8G3RjwwhtffSLaBy3yPjYm8THL	2.002	1.25	1000000	5	18
B4tWmhfCBLvRYugPcu6bgP36DVweLc457pywc1a3QJju	2.002	1.25	10000000	5	18
HXuuXP9ZNn7WGaKKqiAcX5473TeyXb91afB7mKkRvCF8	2.002	1.25	40000000	5	18
AxqXBbPab4iRUMpUiCxKmkawUk77TR5mRVsTFDiUTsh	4.940	0.50	20000000	5	18
GuAKE5EgK7Au7EARH81oHrWjJvvg2Axf9AVNMpt7yEzH	4.940	0.50	78000000	5	18
CBmFWJS37SzCXVcJyGjhQLd9GD6y8LP9UEy2i6MQqak8	2.965	0.50	100000000	5	18
8EmAjS1VMH37ftj5UpgRR8HJSms9g5uezF2NqsA2BtT3	1.977	0.50	20000000	5	18
E24c5R7yHWHmPg1KyBrqTedjgcdRKcj28uwvLBbwi8hv	0.140	0.50	20000000	5	18
FwUB3rBAUcG9gx8dYXsqwHTsAYzqB6TzBfR4htp67DgT	0.102	0.50	10009000	5	18
